episode,win_rate,epsilon
52800,0.735,0.1
52900,0.75,0.1
53000,0.66,0.1
53100,0.595,0.1
53200,0.585,0.1
53300,0.685,0.1
53400,0.77,0.1
53500,0.67,0.1
53600,0.61,0.1
53700,0.65,0.1
53800,0.65,0.1
53900,0.735,0.1
54000,0.645,0.1
54100,0.685,0.1
54200,0.64,0.1
54300,0.72,0.1
54400,0.62,0.1
54500,0.625,0.1
54600,0.61,0.1
54700,0.735,0.1
54800,0.66,0.1
54900,0.65,0.1
55000,0.64,0.1
55100,0.725,0.1
55200,0.675,0.1
55300,0.66,0.1
55400,0.725,0.1
55500,0.73,0.1
55600,0.765,0.1
55700,0.765,0.1
55800,0.77,0.1
55900,0.615,0.1
56000,0.655,0.1
56100,0.56,0.1
56200,0.565,0.1
56300,0.7,0.1
56400,0.76,0.1
56500,0.71,0.1
56600,0.69,0.1
56700,0.685,0.1
56800,0.685,0.1
56900,0.66,0.1
57000,0.58,0.1
57100,0.695,0.1
57200,0.695,0.1
57300,0.67,0.1
57400,0.715,0.1
57500,0.7,0.1
57600,0.73,0.1
57700,0.7,0.1
57800,0.595,0.1
57900,0.62,0.1
58000,0.725,0.1
58100,0.67,0.1
58200,0.64,0.1
58300,0.635,0.1
58400,0.46,0.1
58500,0.58,0.1
58600,0.68,0.1
58700,0.6,0.1
58800,0.67,0.1
58900,0.64,0.1
59000,0.58,0.1
59100,0.645,0.1
59200,0.76,0.1
59300,0.62,0.1
59400,0.76,0.1
59500,0.745,0.1
59600,0.795,0.1
59700,0.705,0.1
59800,0.625,0.1
59900,0.71,0.1
60000,0.68,0.1
60100,0.61,0.1
60200,0.615,0.1
60300,0.56,0.1
60400,0.795,0.1
60500,0.76,0.1
60600,0.755,0.1
60700,0.755,0.1
60800,0.645,0.1
60900,0.725,0.1
61000,0.695,0.1
61100,0.74,0.1
61200,0.7,0.1
61300,0.58,0.1
61400,0.635,0.1
61500,0.67,0.1
61600,0.735,0.1
61700,0.61,0.1
61800,0.565,0.1
61900,0.66,0.1
